Date      , Coin       , Open                 , High                 , Low                  , Close
2025-07-26, bitcoin    , 117540.80837085741   , 117540.80837085741   , 117540.80837085741   , 117540.80837085741
2025-07-27, bitcoin    , 117959.54234360624   , 117959.54234360624   , 117959.54234360624   , 117959.54234360624
2025-07-28, bitcoin    , 119418.91405141471   , 119418.91405141471   , 119418.91405141471   , 119418.91405141471
2025-07-29, bitcoin    , 118003.30201607826   , 118003.30201607826   , 118003.30201607826   , 118003.30201607826
2025-07-30, bitcoin    , 117853.30892863822   , 117853.30892863822   , 117853.30892863822   , 117853.30892863822
2025-07-31, bitcoin    , 117833.24087995925   , 117833.24087995925   , 117833.24087995925   , 117833.24087995925
2025-08-01, bitcoin    , 115700.00243915782   , 115700.00243915782   , 115700.00243915782   , 115700.00243915782
2025-08-02, bitcoin    , 113234.6051343189    , 113234.6051343189    , 113234.6051343189    , 113234.6051343189
2025-08-03, bitcoin    , 112554.90232221723   , 112554.90232221723   , 112554.90232221723   , 112554.90232221723
2025-08-04, bitcoin    , 114199.10966460757   , 114199.10966460757   , 114199.10966460757   , 114199.10966460757
2025-08-05, bitcoin    , 115138.68613070177   , 115138.68613070177   , 115138.68613070177   , 115138.68613070177
2025-08-06, bitcoin    , 114128.35408881678   , 114128.35408881678   , 114128.35408881678   , 114128.35408881678
2025-08-07, bitcoin    , 115022.09576830892   , 115022.09576830892   , 115022.09576830892   , 115022.09576830892
2025-08-08, bitcoin    , 117463.47451085235   , 117463.47451085235   , 117463.47451085235   , 117463.47451085235
2025-08-09, bitcoin    , 116688.36663186055   , 116688.36663186055   , 116688.36663186055   , 116688.36663186055
2025-08-10, bitcoin    , 116510.08393213755   , 116510.08393213755   , 116510.08393213755   , 116510.08393213755
2025-08-11, bitcoin    , 119266.92516880555   , 119266.92516880555   , 119266.92516880555   , 119266.92516880555
2025-08-12, bitcoin    , 118773.79960860992   , 118773.79960860992   , 118773.79960860992   , 118773.79960860992
2025-08-13, bitcoin    , 120202.53485503166   , 120202.53485503166   , 120202.53485503166   , 120202.53485503166
2025-08-14, bitcoin    , 123560.99363577305   , 123560.99363577305   , 123560.99363577305   , 123560.99363577305
2025-08-15, bitcoin    , 118405.59579823953   , 118405.59579823953   , 118405.59579823953   , 118405.59579823953
2025-08-16, bitcoin    , 117339.79190213277   , 117339.79190213277   , 117339.79190213277   , 117339.79190213277
2025-08-17, bitcoin    , 117501.21653394958   , 117501.21653394958   , 117501.21653394958   , 117501.21653394958
2025-08-18, bitcoin    , 117542.83687778088   , 117542.83687778088   , 117542.83687778088   , 117542.83687778088
2025-08-19, bitcoin    , 116256.41276740946   , 116256.41276740946   , 116256.41276740946   , 116256.41276740946
2025-08-20, bitcoin    , 112778.34483555844   , 112778.34483555844   , 112778.34483555844   , 112778.34483555844
2025-08-21, bitcoin    , 114252.39755195397   , 114252.39755195397   , 114252.39755195397   , 114252.39755195397
2025-08-22, bitcoin    , 112414.39987336512   , 112414.39987336512   , 112414.39987336512   , 112414.39987336512
2025-08-23, bitcoin    , 116834.24948202295   , 116834.24948202295   , 116834.24948202295   , 116834.24948202295
2025-08-24, bitcoin    , 115359.98346714744   , 115359.98346714744   , 115359.98346714744   , 115359.98346714744
2025-08-25, bitcoin    , 113399.54847314971   , 113399.54847314971   , 113399.54847314971   , 113399.54847314971
2025-08-26, bitcoin    , 110185.35443900425   , 110185.35443900425   , 110185.35443900425   , 110185.35443900425
2025-08-27, bitcoin    , 111842.70999260596   , 111842.70999260596   , 111842.70999260596   , 111842.70999260596
2025-08-28, bitcoin    , 111216.08479629169   , 111216.08479629169   , 111216.08479629169   , 111216.08479629169
2025-08-29, bitcoin    , 112525.59740669793   , 112525.59740669793   , 112525.59740669793   , 112525.59740669793
2025-08-30, bitcoin    , 108480.30666639366   , 108480.30666639366   , 108480.30666639366   , 108480.30666639366
2025-08-31, bitcoin    , 108781.95727925687   , 108781.95727925687   , 108781.95727925687   , 108781.95727925687
2025-09-01, bitcoin    , 108253.36092385623   , 108253.36092385623   , 108253.36092385623   , 108253.36092385623
2025-09-02, bitcoin    , 109162.68557992298   , 109162.68557992298   , 109162.68557992298   , 109162.68557992298
2025-09-03, bitcoin    , 111190.18209845416   , 111190.18209845416   , 111190.18209845416   , 111190.18209845416
2025-09-04, bitcoin    , 111711.51977725117   , 111711.51977725117   , 111711.51977725117   , 111711.51977725117
2025-09-05, bitcoin    , 110724.736377486     , 110724.736377486     , 110724.736377486     , 110724.736377486
2025-09-06, bitcoin    , 110662.18112628513   , 110662.18112628513   , 110662.18112628513   , 110662.18112628513
2025-09-07, bitcoin    , 110209.1888247784    , 110209.1888247784    , 110209.1888247784    , 110209.1888247784
2025-09-08, bitcoin    , 111131.9923868407    , 111131.9923868407    , 111131.9923868407    , 111131.9923868407
2025-09-09, bitcoin    , 112025.12878118771   , 112025.12878118771   , 112025.12878118771   , 112025.12878118771
2025-09-10, bitcoin    , 111547.43956434788   , 111547.43956434788   , 111547.43956434788   , 111547.43956434788
2025-09-11, bitcoin    , 113975.32489468766   , 113975.32489468766   , 113975.32489468766   , 113975.32489468766
2025-09-12, bitcoin    , 115503.16663193036   , 115503.16663193036   , 115503.16663193036   , 115503.16663193036
2025-09-13, bitcoin    , 116160.14344594491   , 116160.14344594491   , 116160.14344594491   , 116160.14344594491
2025-09-14, bitcoin    , 115970.58488443034   , 115970.58488443034   , 115970.58488443034   , 115970.58488443034
2025-09-15, bitcoin    , 115373.55555886829   , 115373.55555886829   , 115373.55555886829   , 115373.55555886829
2025-09-16, bitcoin    , 115397.25272727509   , 115397.25272727509   , 115397.25272727509   , 115397.25272727509
2025-09-17, bitcoin    , 116762.8496864193    , 116762.8496864193    , 116762.8496864193    , 116762.8496864193
2025-09-18, bitcoin    , 116455.94648225319   , 116455.94648225319   , 116455.94648225319   , 116455.94648225319
2025-09-19, bitcoin    , 117145.49508952006   , 117145.49508952006   , 117145.49508952006   , 117145.49508952006
2025-09-20, bitcoin    , 115655.81046441344   , 115655.81046441344   , 115655.81046441344   , 115655.81046441344
